timestamp,cpu_util_percent,memory_used_mb,memory_total_mb,load_avg_1min
2026-02-20 20:40:44,15.3,22751,192092,4.16
2026-02-20 20:41:14,16.8,24488,192092,5.08
2026-02-20 20:41:45,14.2,26708,192092,6.49
2026-02-20 20:42:16,14.3,26714,192092,5.96
2026-02-20 20:42:46,14.2,26727,192092,5.58
2026-02-20 20:43:17,14.3,26723,192092,5.42
2026-02-20 20:43:48,14.1,26764,192092,5.30
2026-02-20 20:44:19,14.2,26771,192092,5.23
2026-02-20 20:44:49,14.1,26768,192092,5.33
2026-02-20 20:45:20,14.1,26768,192092,5.28
2026-02-20 20:45:51,14.2,26787,192092,5.17
2026-02-20 20:46:21,14.1,26787,192092,5.10
2026-02-20 20:46:52,14.3,26786,192092,5.12
2026-02-20 20:47:23,14.2,26795,192092,5.13
2026-02-20 20:47:54,14.1,26796,192092,5.07
2026-02-20 20:48:24,14.1,26824,192092,5.09
